word|reading|jlpt_level|jlpt_level_raw|tags
無茶苦茶|むちゃくちゃ|N2|N2|adj-na n adv
モテる|モテる|N2|N2|v1 vi
ボサボサ|ボサボサ||NA19|adj-no adj-na adv adv-to vs
ダブる|ダブる|N1|N1|v5r vi
期する|きする||NA12|vs-s vt
知り尽くす|しりつくす||NA2|v5s
めそめそ|めそめそ|N1|N1|adv adv-to vs
しんどい|しんどい|N1|N1|adj-i
収まる|おさまる|N1|N1|v5r vi
ぼやぼや|ボヤボヤ||NA1|vs adv adv-to adj-na
本格的|ほんかくてき||NA1|adj-na
眩む|くらむ||NA1|v5m vi
詳密|しょうみつ||NA2|adj-na n
流動的|りゅうどうてき||NA2|adj-na
微細|びさい||NA2|adj-na n
事細かい|ことこまかい||NA3|adj-i
冷やし|ひやし||NA3|n-pref n
相まって|あいまって||NA4|adv
付け上がる|つけあがる||NA4|v5r vi
くしゃくしゃ|くしゃくしゃ||NA5|adj-no adj-na adv adv-to vs
気が立つ|きがたつ||NA6|exp v5t
戦々恐々|せんせんきょうきょう||NA7|adv-to adj-t adj-na vs
湛える|たたえる||NA7|v1 vt
好奇心は猫をも殺す|こうきしんはねこをもころす||NA8|exp v5s
無印|むじるし||NA8|adj-no
縺れる|もつれる||NA8|v1 vi
詳らか|つまびらか||NA9|adj-na
先生と言われるほどの馬鹿でなし|せんせいといわれるほどのばかでなし||NA9|exp
惰弱|だじゃく||NA9|adj-na n
能ある鷹は爪を隠す|のうあるたかはつめをかくす||NA9|exp v5s
類稀|たぐいまれ||NA9|adj-na
怪訝|けげん||NA10|adj-na
絶倫|ぜつりん||NA10|adj-no adj-na n
縮こまる|ちぢこまる||NA11|v5r vi
宙に浮く|ちゅうにうく||NA11|exp v5k
言い含める|いいふくめる||NA12|v1 vt
酢の物|すのもの||NA12|exp n
相まつ|あいまつ||NA12|v5t vi v4t vt
絡み合う|からみあう||NA12|v5u vi
噛んで含めるように|かんでふくめるように||NA13|exp
魂消る|たまげる||NA13|v1 vi
入り混じる|いりまじる||NA13|v5r vi
珍紛漢紛|ちんぷんかんぷん||NA15|n adj-na
日の目を見る|ひのめをみる||NA15|exp v1
白ける|しらける||NA15|v1 vi
満ちる|みちる||NA16|v1 vi
知らぬ存ぜぬ|しらぬぞんぜぬ||NA16|exp n
なる|なる||NA19|suf adj-f int
舞い上がる|まいあがる||NA19|v5r vi
釣り上がる|つりあがる||NA18|v5r vi
露|あらわ||NA18|adj-na
